date,interval,duration
1,78,4.4
1,74,3.9
1,68,4
1,76,4
1,80,3.5
1,84,4.1
1,50,2.3
1,93,4.7
1,55,1.7
1,76,4.9
1,58,1.7
1,74,4.6
1,75,3.4
2,80,4.3
3,56,1.7
4,80,3.9
5,69,3.7
6,57,3.1
7,90,4
8,42,1.8
9,91,4.1
10,51,1.8
11,79,3.2
12,53,1.9
13,82,4.6
14,51,2
15,76,4.5
16,82,3.9
17,84,4.3
18,53,2.3
19,86,3.8
20,51,1.9
21,85,4.6
22,45,1.8
23,88,4.7
24,51,1.8
25,80,4.6
26,49,1.9
27,82,3.5
28,75,4
29,73,3.7
30,67,3.7
31,68,4.3
32,86,3.6
33,72,3.8
34,75,3.8
35,75,3.8
36,66,2.5
37,84,4.5
38,70,4.1
39,79,3.7
40,60,3.8
41,86,3.4
42,71,4
43,67,2.3
44,81,4.4
45,76,4.1
46,83,4.3
47,76,3.3
48,55,2
49,73,4.3
50,56,2.9
51,83,4.6
52,57,1.9
53,71,3.6
54,72,3.7
55,77,3.7
56,55,1.8
57,75,4.6
58,73,3.5
59,70,4
60,83,3.7
61,50,1.7
62,95,4.6
63,51,1.7
64,82,4
65,54,1.8
66,83,4.4
67,51,1.9
68,80,4.6
69,78,2.9
70,81,3.5
71,53,2
72,89,4.3
73,44,1.8
74,78,4.1
75,61,1.8
76,73,4.7
77,75,4.2
78,73,3.9
79,76,4.3
80,55,1.8
81,86,4.5
82,48,2
83,77,4.2
84,73,4.4
85,70,4.1
86,88,4.1
87,75,4
88,83,4.1
89,61,2.7
90,78,4.6
91,61,1.9
92,81,4.5
93,51,2
94,80,4.8
95,79,4.1
